run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,final,allocs/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,before,ns/op,497757346,277135020.5,-220622325.5,-44.323268611288356,0.0021645021645021645,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,final,ns/op,497757346,270887406.5,-226869939.5,-45.57842115704306,0.0021645021645021645,277135020.5,-2.254357456783418,0.09307359307359307,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,before,code-B,20163867,20163867,0,0,1,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,final,code-B,20163867,20163867,0,0,1,20163867,0,1,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,before,B/op,173569956,174193388,623432,0.3591819773233196,0.13203463203463203,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,final,B/op,173569956,154253860,-19316096,-11.128709394844805,0.0021645021645021645,174193388,-11.44677661358765,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,before,allocs/op,23085,23534,449,1.9449859215941112,0.48484848484848486,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p2,final,allocs/op,23085,20476,-2609,-11.30171106779294,0.0021645021645021645,23534,-12.993966176595562,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,before,ns/op,401223171,180939803,-220283368,-54.90295275095167,0.0021645021645021645,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,final,ns/op,401223171,180703791.5,-220519379.5,-54.96177574948682,0.0021645021645021645,180939803,-0.13043647449975104,0.9372294372294372,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,before,code-B,20163867,20163867,0,0,1,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,final,code-B,20163867,20163867,0,0,1,20163867,0,1,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,before,B/op,181469728,183097420,1627692,0.8969496003212063,0.04112554112554113,,,,6,"One timed operation; memory check, not a timing claim."
