stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,explicit,BenchmarkWazeroInstantiate/isa_bulk_mem,wazero,time,ns/op,14872.5,15151.5,279,1.875945537065049,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_i32.add,wazero,time,ns/op,13017.5,13293.5,276,2.1202227770309223,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/isa_i32,wazero,time,ns/op,7689,7964,275,3.576537911301858,0.015151515151515152,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_cvt.f64_convert_s,wazero,time,ns/op,84528,84800,272,0.32178686352450914,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/blake-as,wazero,time,ns/op,785151.5,785421.5,270,0.034388267741958245,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/isa_simd_i8x16,wazero,time,ns/op,7748,7989,241,3.1104801239029367,0.13203463203463203,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_simd_f64x2.div,wazero,time,ns/op,21042.5,21282,239.5,1.1381727456338364,0.06493506493506493,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/tiny,wazero,time,ns/op,52584.5,52811.5,227,0.43168614325515,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/xjb-mulhi,wazero,time,ns/op,7697.5,7919,221.5,2.8775576485872145,0.17965367965367965,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/json-as.serializeN,wazero,time,ns/op,29733,29949.5,216.5,0.7281471765378633,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_call.call_direct,wazero,time,ns/op,43368,43581,213,0.4911455451023894,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/json-as-simd,wazero,time,ns/op,14285.5,14488,202.5,1.4175212628189326,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/arith,wazero,time,ns/op,52671.5,52870.5,199,0.37781342851446187,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_f64.abs,wazero,time,ns/op,39234.5,39432,197.5,0.5033835017650201,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkCompile_wazero,wazero,time,ns/op,71402,71589.5,187.5,0.26259768633931646,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_i32.rotl,wazero,time,ns/op,27188,27371.5,183.5,0.6749301162277455,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_i64.add,wazero,time,ns/op,13020,13193.5,173.5,1.3325652841781777,0.17965367965367965,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_i32.rotl,wazero,time,ns/op,27160,27333,173,0.636966126656846,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f64.neg,wazero,time,ns/op,39214.5,39387,172.5,0.4398883066212722,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/zlib,wazero,time,ns/op,92202.5,92374,171.5,0.1860036333071191,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/isa_i64,wazero,time,ns/op,7774,7940,166,2.1353228711088246,0.09307359307359307,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/utf-as,wazero,time,ns/op,15532,15698,166,1.0687612670615465,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/coremark,wazero,time,ns/op,14717.5,14882.5,165,1.121114319687444,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
