run,bounds,benchmark,unit,main,after,absolute_change,change_percent,p,samples_each
"full","signals","BenchmarkCompileMultiModuleThroughput/json-as/p1","allocs/op",403,405,2,0.496277915632759,0.0021645021645021645,6
"full","signals","BenchmarkCompileWorkers/tiny/p2","allocs/op",41,43,2,4.878048780487809,0.0021645021645021645,6
"full","signals","BenchmarkCompileWorkers/tiny/p4","allocs/op",41,43,2,4.878048780487809,0.0021645021645021645,6
"full","signals","BenchmarkCompileWorkers/tiny/p8","allocs/op",41,43,2,4.878048780487809,0.0021645021645021645,6
"full","signals","BenchmarkCompileWorkers/sqlite3/p1","allocs/op",2528,2530,2,0.07911392405062223,0.0021645021645021645,6
"confirm","explicit","BenchmarkCompileFull/many_funcs","allocs/op",84,86,2,2.3809523809523725,7.39602301050679e-7,12
"confirm","explicit","BenchmarkCompileFull/json-as-simd","allocs/op",437,439,2,0.4576659038901587,7.39602301050679e-7,12
"confirm","explicit","BenchmarkCompileFullWorkers/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,7.39602301050679e-7,12
"confirm","explicit","BenchmarkCompileMultiModuleThroughput/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,7.39602301050679e-7,12
"confirm","signals","BenchmarkCompileFull/many_funcs","allocs/op",84,86,2,2.3809523809523725,7.39602301050679e-7,12
"confirm","signals","BenchmarkCompileFull/json-as-simd","allocs/op",436,438,2,0.4587155963302836,7.39602301050679e-7,12
"confirm","signals","BenchmarkCompileFullWorkers/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,7.39602301050679e-7,12
"confirm","signals","BenchmarkCompileMultiModuleThroughput/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,7.39602301050679e-7,12
"fixed-memory","explicit","BenchmarkCompileWorkers/tiny/p2","allocs/op",45,47,2,4.444444444444451,0.0021645021645021645,6
"fixed-memory","explicit","BenchmarkCompileFull/many_funcs","allocs/op",100,102,2,2.0000000000000018,0.0021645021645021645,6
"fixed-memory","explicit","BenchmarkCompileFull/json-as","allocs/op",422,424,2,0.4739336492890933,0.0021645021645021645,6
"fixed-rss","explicit","BenchmarkCompileCompact/regexmatch","allocs/op",1947,1949,2,0.10272213662043672,0.0021645021645021645,6
"fixed-rss","explicit","BenchmarkCompileCompact/wasm3","allocs/op",837,839,2,0.2389486260454099,0.0021645021645021645,6
"fixed-rss","explicit","BenchmarkCompileCompact/zstd","allocs/op",228,230,2,0.8771929824561431,0.0021645021645021645,6
"fixed-rss","explicit","BenchmarkCompileCompact/sqlite3","allocs/op",2150,2152,2,0.09302325581395099,0.0021645021645021645,6
"fixed-memory","signals","BenchmarkCompileFull/many_funcs","allocs/op",100,102,2,2.0000000000000018,0.0021645021645021645,6
"fixed-memory","signals","BenchmarkCompileFull/json-as","allocs/op",421,423,2,0.47505938242280443,0.0021645021645021645,6
"fixed-rss","signals","BenchmarkCompileCompact/regexmatch","allocs/op",1947,1949,2,0.10272213662043672,0.0021645021645021645,6
"fixed-rss","signals","BenchmarkCompileCompact/wasm3","allocs/op",837,839,2,0.2389486260454099,0.0021645021645021645,6
"fixed-rss","signals","BenchmarkCompileCompact/zstd","allocs/op",228,230,2,0.8771929824561431,0.0021645021645021645,6
