bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	B/op	4290296	4299876	0.22329461650199	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	allocs/op	7910	7908	-0.025284450063212116	0.23376623376623376	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	ns/op	808767391.5	540831346	-33.128937728691795	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	code-B	26620960	26620960	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	B/op	82987184	82915704	-0.08613378181382414	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	allocs/op	19624	19622	-0.010191602119857812	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	ns/op	812136611.5	526457055	-35.176293305181204	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	code-B	26619552	26619552	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	B/op	82987216	82915720	-0.08615302867853725	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	allocs/op	19626	19623	-0.015285845307244639	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/tiny	ns/op	33957.5	30864	-9.109916807774422	0.24025974025974026	6	6	paired
explicit	BenchmarkCompileCompact/tiny	B/op	10651.5	10640	-0.10796601417640828	0.45670995670995673	6	6	paired
explicit	BenchmarkCompileCompact/tiny	allocs/op	26	26	0	1	6	6	paired
explicit	BenchmarkCompileCompact/fib_iter	ns/op	33412.5	33306.5	-0.3172465394687629	0.5887445887445888	6	6	paired
explicit	BenchmarkCompileCompact/fib_iter	B/op	13338.5	13329.5	-0.06747385388161664	0.8484848484848485	6	6	paired
explicit	BenchmarkCompileCompact/fib_iter	allocs/op	28	28	0	1	6	6	paired
explicit	BenchmarkCompileCompact/fib_rec	ns/op	35145.5	33463.5	-4.785818952639742	0.24025974025974026	6	6	paired
explicit	BenchmarkCompileCompact/fib_rec	B/op	13273.5	12736	-4.049421780238827	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/fib_rec	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompileCompact/arith	ns/op	38229.5	31414	-17.827855451941566	0.004329004329004329	6	6	paired
explicit	BenchmarkCompileCompact/arith	B/op	27506.5	13567.5	-50.675294930289205	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/arith	allocs/op	27	27	0	1	6	6	paired
