# draglinecompare raw v1
# target compat
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.eq/dragline-16      	   18045	     33195 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.ne/railshot-16      	   17112	     35018 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.ne/dragline-16      	   18072	     33258 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.lt/railshot-16      	   17136	     35083 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.lt/dragline-16      	   18049	     33262 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.gt/railshot-16      	   17113	     35030 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.gt/dragline-16      	   18055	     33216 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.le/railshot-16      	   17136	     35095 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.le/dragline-16      	   18060	     33236 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.ge/railshot-16      	   17127	     35015 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.ge/dragline-16      	   18062	     33247 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_mem.load_i32/railshot-16    	   53599	     11181 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_mem.load_i32/dragline-16    	   78732	      7608 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_mem.load_i64/railshot-16    	   53726	     11208 ns/op	       0 B/op	       0 allocs/op
